Watching for file changes with StatReloader
Watching for file changes with StatReloader
[22/Aug/2024 17:43:31] "POST /ingresar/ HTTP/1.1" 302 0
[22/Aug/2024 17:43:32] "GET /home/ HTTP/1.1" 200 3695
[22/Aug/2024 17:43:34] "GET /personas_lista/1 HTTP/1.1" 200 55299
[22/Aug/2024 17:43:34] "GET /media/images/IMG_20240820_203335_464.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:34] "GET /media/images/IMG_20240820_202209_660.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:34] "GET /media/images/IMG_20240820_203727_317.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:34] "GET /media/images/IMG_20240820_203447_425.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:34] "GET /media/images/IMG_20240820_203122_055_lZMsQ2Z.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:34] "GET /media/images/err_hX7dirl.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:34] "GET /media/images/IMG_20240820_203821_459.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_204143_868.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_203539_375.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_204537_975.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_204641_990.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_195401_822.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_200029_092.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_204437_119.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_201415_200.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_202932_074.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_200730_199.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_202027_141.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_202607_801.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:35] "GET /media/images/IMG_20240820_202932_074_vXdU7nY.jpg HTTP/1.1" 304 0
[22/Aug/2024 17:43:44] "GET /salir/ HTTP/1.1" 302 0
[22/Aug/2024 17:43:44] "GET /ingresar/ HTTP/1.1" 200 1634
Invalid HTTP_HOST header: 'hunglin.ar'. You may need to add 'hunglin.ar' to ALLOWED_HOSTS.
Bad Request: /
[22/Aug/2024 17:51:17] "GET / HTTP/1.1" 400 70130
Invalid HTTP_HOST header: 'mail.hunglin.com.ar'. You may need to add 'mail.hunglin.com.ar' to ALLOWED_HOSTS.
Bad Request: /
[22/Aug/2024 19:29:57] "GET / HTTP/1.1" 400 70265
